
2025-10-09 16:36:25,198 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 3 스텝 1250/1258 - loss=0.1530 acc=0.9388
2025-10-09 16:37:12,441 | INFO     | 880794-MainThread | gravifox.train | engine.py:370 | fit | 에폭 003 완료 - train_loss=0.1529 train_acc=0.9388 val_loss=0.1351 val_acc=0.9510 val_f1=0.9514 val_auc=0.9904 val_ece=0.0153 val_tpr@1%=0.8863
2025-10-09 16:42:16,838 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 50/1258 - loss=0.1417 acc=0.9442
2025-10-09 16:45:50,165 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 100/1258 - loss=0.1387 acc=0.9448
2025-10-09 16:49:22,232 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 150/1258 - loss=0.1381 acc=0.9453
2025-10-09 16:53:42,845 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 200/1258 - loss=0.1391 acc=0.9448
2025-10-09 16:57:05,454 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 250/1258 - loss=0.1391 acc=0.9450
2025-10-09 17:00:52,318 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 300/1258 - loss=0.1386 acc=0.9448
2025-10-09 17:04:53,024 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 350/1258 - loss=0.1391 acc=0.9447
2025-10-09 17:08:28,854 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 400/1258 - loss=0.1390 acc=0.9448
2025-10-09 17:12:57,024 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 450/1258 - loss=0.1390 acc=0.9448
2025-10-09 17:16:29,555 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 500/1258 - loss=0.1384 acc=0.9450
2025-10-09 17:20:31,119 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 550/1258 - loss=0.1380 acc=0.9453
2025-10-09 17:23:48,016 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 600/1258 - loss=0.1378 acc=0.9451
2025-10-09 17:28:40,058 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 650/1258 - loss=0.1376 acc=0.9453
2025-10-09 17:32:34,211 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 700/1258 - loss=0.1370 acc=0.9455
2025-10-09 17:36:01,130 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 750/1258 - loss=0.1369 acc=0.9455
2025-10-09 17:40:13,430 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 800/1258 - loss=0.1368 acc=0.9457
2025-10-09 17:44:18,774 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 850/1258 - loss=0.1365 acc=0.9458
2025-10-09 17:47:13,297 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 900/1258 - loss=0.1364 acc=0.9458
2025-10-09 17:51:17,095 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 950/1258 - loss=0.1358 acc=0.9461
2025-10-09 17:55:22,134 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 1000/1258 - loss=0.1357 acc=0.9461
2025-10-09 17:58:22,617 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 1050/1258 - loss=0.1356 acc=0.9461
2025-10-09 18:02:40,281 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 1100/1258 - loss=0.1355 acc=0.9461
2025-10-09 18:05:35,306 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 1150/1258 - loss=0.1350 acc=0.9464
2025-10-09 18:08:05,219 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 1200/1258 - loss=0.1348 acc=0.9465
2025-10-09 18:10:10,371 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 4 스텝 1250/1258 - loss=0.1347 acc=0.9466
2025-10-09 18:10:59,355 | INFO     | 880794-MainThread | gravifox.train | engine.py:370 | fit | 에폭 004 완료 - train_loss=0.1346 train_acc=0.9466 val_loss=0.1405 val_acc=0.9533 val_f1=0.9527 val_auc=0.9879 val_ece=0.0156 val_tpr@1%=0.8989
2025-10-09 18:16:07,209 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 50/1258 - loss=0.1288 acc=0.9496
2025-10-09 18:20:17,620 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 100/1258 - loss=0.1251 acc=0.9506
2025-10-09 18:23:35,616 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 150/1258 - loss=0.1236 acc=0.9509
2025-10-09 18:27:42,033 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 200/1258 - loss=0.1245 acc=0.9505
2025-10-09 18:30:44,367 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 250/1258 - loss=0.1246 acc=0.9505
2025-10-09 18:34:53,529 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 300/1258 - loss=0.1246 acc=0.9507
2025-10-09 18:38:30,668 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 350/1258 - loss=0.1246 acc=0.9509
2025-10-09 18:43:19,638 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 400/1258 - loss=0.1242 acc=0.9509
2025-10-09 18:46:08,262 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 450/1258 - loss=0.1241 acc=0.9508
2025-10-09 18:50:59,056 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 500/1258 - loss=0.1238 acc=0.9511
2025-10-09 18:54:10,598 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 550/1258 - loss=0.1229 acc=0.9514
2025-10-09 18:58:13,187 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 600/1258 - loss=0.1225 acc=0.9516
2025-10-09 19:01:42,905 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 650/1258 - loss=0.1224 acc=0.9517
2025-10-09 19:06:08,080 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 700/1258 - loss=0.1219 acc=0.9519
2025-10-09 19:09:17,519 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 750/1258 - loss=0.1216 acc=0.9520
2025-10-09 19:13:39,628 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 800/1258 - loss=0.1217 acc=0.9519
2025-10-09 19:16:55,847 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 850/1258 - loss=0.1214 acc=0.9522
2025-10-09 19:21:10,354 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 900/1258 - loss=0.1214 acc=0.9521
2025-10-09 19:24:24,989 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 950/1258 - loss=0.1211 acc=0.9523
2025-10-09 19:28:50,443 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 1000/1258 - loss=0.1206 acc=0.9525
2025-10-09 19:32:00,267 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 1050/1258 - loss=0.1203 acc=0.9526
2025-10-09 19:36:10,787 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 1100/1258 - loss=0.1204 acc=0.9526
2025-10-09 19:38:50,513 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 1150/1258 - loss=0.1200 acc=0.9528
2025-10-09 19:41:27,712 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 1200/1258 - loss=0.1196 acc=0.9529
2025-10-09 19:43:15,629 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 5 스텝 1250/1258 - loss=0.1194 acc=0.9530
2025-10-09 19:44:02,862 | INFO     | 880794-MainThread | gravifox.train | engine.py:370 | fit | 에폭 005 완료 - train_loss=0.1194 train_acc=0.9530 val_loss=0.1343 val_acc=0.9546 val_f1=0.9541 val_auc=0.9909 val_ece=0.0159 val_tpr@1%=0.9035
2025-10-09 19:48:56,679 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 50/1258 - loss=0.1139 acc=0.9545
2025-10-09 19:52:23,578 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 100/1258 - loss=0.1101 acc=0.9562
2025-10-09 19:56:02,839 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 150/1258 - loss=0.1110 acc=0.9561
2025-10-09 19:59:20,323 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 200/1258 - loss=0.1110 acc=0.9565
2025-10-09 20:03:37,407 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 250/1258 - loss=0.1109 acc=0.9565
2025-10-09 20:07:22,151 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 300/1258 - loss=0.1112 acc=0.9565
2025-10-09 20:11:24,440 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 350/1258 - loss=0.1110 acc=0.9563
2025-10-09 20:15:10,740 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 400/1258 - loss=0.1109 acc=0.9562
2025-10-09 20:19:08,419 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 450/1258 - loss=0.1103 acc=0.9567
2025-10-09 20:21:53,106 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 500/1258 - loss=0.1098 acc=0.9568
2025-10-09 20:26:14,173 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 550/1258 - loss=0.1094 acc=0.9570
2025-10-09 20:29:58,026 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 600/1258 - loss=0.1095 acc=0.9569
2025-10-09 20:34:26,346 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 650/1258 - loss=0.1096 acc=0.9569
2025-10-09 20:37:23,476 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 700/1258 - loss=0.1091 acc=0.9570
2025-10-09 20:41:13,283 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 750/1258 - loss=0.1087 acc=0.9572
2025-10-09 20:45:21,163 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 800/1258 - loss=0.1082 acc=0.9574
2025-10-09 20:48:31,472 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 850/1258 - loss=0.1079 acc=0.9575
2025-10-09 20:52:46,108 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 900/1258 - loss=0.1077 acc=0.9576
2025-10-09 20:56:14,858 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 950/1258 - loss=0.1073 acc=0.9578
2025-10-09 21:00:13,365 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 1000/1258 - loss=0.1070 acc=0.9579
2025-10-09 21:03:37,231 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 1050/1258 - loss=0.1067 acc=0.9580
2025-10-09 21:07:13,215 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 1100/1258 - loss=0.1064 acc=0.9581
2025-10-09 21:10:28,365 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 1150/1258 - loss=0.1063 acc=0.9582
2025-10-09 21:13:43,580 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 1200/1258 - loss=0.1062 acc=0.9582
2025-10-09 21:16:00,449 | INFO     | 880794-MainThread | gravifox.train | engine.py:248 | _train_one_epoch | 에폭 6 스텝 1250/1258 - loss=0.1061 acc=0.9583
2025-10-09 21:16:48,053 | INFO     | 880794-MainThread | gravifox.train | engine.py:370 | fit | 에폭 006 완료 - train_loss=0.1062 train_acc=0.9583 val_loss=0.0864 val_acc=0.9702 val_f1=0.9692 val_auc=0.9953 val_ece=0.0062 val_tpr@1%=0.9398
